;Identificador do acidente;Identificador do condutor;Estado;Identificador do veículo;Tipo de veículo;Marca do veículo;Envolvido;Estado físico do condutor;Idade;Gênero
18142;580261;1291146;SP;1034576;Motocicleta;HONDA/CG 160 TITAN C;Condutor;Lesões Leves;25;Masculino
18145;580263;1290714;SP;1034244;Motocicleta;KAWASAKI/VULCAN S ABS;Condutor;Lesões Leves;27;Masculino
18147;580263;1290713;SP;1034243;Automóvel;I/FORD FOCUS 2L HC FLEX;Condutor;Ileso;43;Masculino
18281;580296;1290966;SP;1034436;Camioneta;FORD/ECOSPORT FSL AT1.6B;Condutor;Ileso;35;Masculino
18285;580296;1290967;SP;1034437;Automóvel;I/M.BENZ C200;Condutor;Ileso;43;Masculino
18287;580296;1290960;SP;1034435;Caminhonete;FIAT/TORO FREEDOM AT;Condutor;Ileso;28;Masculino
18314;580312;1290928;SP;1034408;Automóvel;GM/CLASSIC LIFE;Condutor;Lesões Leves;42;Masculino
18315;580313;1290856;SP;1034352;Motoneta;DAFRA/MAXSYM 400I;Condutor;Lesões Graves;57;Masculino
18337;580327;1290918;SP;1034396;Caminhão-trator;IMP/VOLVO 460 TURBO VCB;Condutor;Lesões Leves;36;Masculino
18433;580373;1291007;SP;1034470;Automóvel;GM/CELTA 2P SPIRIT;Condutor;Lesões Leves;31;Masculino
18434;580373;1291009;SP;1034471;Caminhonete;FIAT/STRADA HD WK CC E;Condutor;Lesões Leves;39;Feminino
18515;580419;1292208;SP;1035331;Motoneta;HONDA/BIZ 125 ES;Condutor;Ileso;25;Masculino
18517;580420;1291193;SP;1034601;Automóvel;VW/POLO SENSE AD;Condutor;Não Informado;41;Não Informado
18535;580427;1291120;SP;1034555;Automóvel;FIAT/PUNTO ATTRACTIVE;Condutor;Lesões Leves;37;Masculino
18595;580464;1291197;SP;1034610;Motocicleta;Não Informado;Condutor;Não Informado;41;Não Informado
18596;580464;1292596;SP;1034612;Bicicleta;Não Informado;Condutor;Lesões Graves;47;Masculino
18670;580506;1291531;SP;1034834;Automóvel;RENAULT/SANDERO SW1616VA;Condutor;Ileso;44;Feminino
18685;580513;1291310;SP;1034707;Motocicleta;BMW/F800 GS;Condutor;Lesões Graves;58;Masculino
18693;580516;1291316;SP;1034711;Caminhão-trator;VOLVO/FH 440 6X2T;Condutor;Ileso;46;Masculino
18694;580516;1291317;SP;1034712;Automóvel;FIAT/SIENA FIRE FLEX;Condutor;Não Informado;41;Não Informado
18736;580535;1291445;SP;1034787;Automóvel;VW/GOL 1.0 GIV;Condutor;Lesões Leves;53;Masculino
18737;580535;1291443;SP;1034788;Automóvel;VW/GOL 1.0L MC4;Condutor;Ileso;52;Masculino
18774;580552;1291687;SP;1034928;Caminhonete;I/TOYOTA HILUX CD4X4 SRV;Condutor;Ileso;45;Masculino
18775;580552;1291688;SP;1034929;Motocicleta;HONDA/CB 300R;Condutor;Ileso;56;Masculino
18813;580564;1291680;SP;1034924;Automóvel;GM/CORSA MILENIUM;Condutor;Ileso;25;Masculino
18916;580610;1292558;SP;1035543;Motocicleta;YAMAHA/XVS950A MIDN.STAR;Condutor;Lesões Leves;52;Masculino
19069;580667;1292416;SP;1035456;Motocicleta;HONDA/CBX 250 TWISTER;Condutor;Lesões Leves;33;Masculino
19099;580684;1291828;SP;1035055;Motoneta;HONDA/ELITE 125;Condutor;Lesões Leves;51;Masculino
19105;580688;1291914;SP;1035028;Caminhão-trator;SCANIA/R124 GA4X2NZ 400;Condutor;Ileso;42;Masculino
19116;580702;1291831;SP;1035058;Caminhonete;I/TOYOTA HILUX CDLOWM4FD;Condutor;Não Informado;41;Não Informado
19139;580714;1292351;SP;1035409;Motocicleta;HONDA/CG 125 FAN;Condutor;Lesões Leves;43;Masculino
19295;580784;1292000;SP;1035178;Motocicleta;HONDA/CG 150 TITAN KS;Condutor;Lesões Leves;21;Masculino
19307;580789;1292036;SP;1035203;Caminhão;M.BENZ/L 1620;Condutor;Lesões Graves;54;Masculino
19324;580799;1292058;SP;1035222;Automóvel;I/M.BENZ A200TURBO;Condutor;Lesões Leves;32;Feminino
19390;580825;1292185;SP;1035312;Motoneta;YAMAHA/XMAX;Condutor;Lesões Leves;33;Masculino
19445;580853;1292197;SP;1035325;Automóvel;FORD/FIESTA SEDAN1.6FLEX;Condutor;Lesões Graves;49;Masculino
19525;580892;1292352;SP;1035410;Motocicleta;MOTTU/SPORT 110I;Condutor;Lesões Leves;26;Masculino
19597;580919;1292501;SP;1035507;Motocicleta;HONDA/CB300F TWISTER ABS;Condutor;Lesões Leves;46;Masculino
19598;580919;1292500;SP;1035506;Automóvel;HYUNDAI/HB20 1.0M 1.0 M;Condutor;Ileso;57;Feminino
19599;580920;1292407;SP;1035451;Automóvel;CHEV/SPIN 1.8L AT LT;Condutor;Ileso;68;Feminino
19600;580920;1292408;SP;1035452;Automóvel;HYUNDAI/HB20 1.6M COMF;Condutor;Ileso;26;Masculino
19640;580940;1292480;SP;1035491;Automóvel;FORD/KA SE 1.0 HA B;Condutor;Ileso;35;Masculino
19641;580940;1292479;SP;1035490;Automóvel;PEUGEOT/206 16 FELINE FX;Condutor;Ileso;38;Masculino
19654;580946;1292496;SP;1035503;Caminhão-trator;SCANIA/P 360 A6X2;Condutor;Lesões Leves;34;Masculino
19664;580951;1292587;SP;1035563;Motocicleta;BMW/R1250GS A;Condutor;Lesões Leves;37;Masculino
19666;580951;1292583;SP;1035559;Camioneta;JEEP/RENEGADE LNGTD AT;Condutor;Ileso;30;Masculino
19682;580958;1292524;SP;1035524;Automóvel;I/PORSCHE 911 CARRERA C;Condutor;Ileso;26;Masculino
19683;580958;1292522;SP;1035526;Automóvel;I/KIA PICANTO EX41.0ATFF;Condutor;Lesões Leves;72;Feminino
19728;580979;1292662;SP;1035626;Automóvel;RENAULT/CLIO AUT10 16H3P;Condutor;Lesões Leves;18;Feminino
19788;581006;1292633;SP;1035603;Automóvel;CHEVROLET/ONIX 1.4MT LT;Condutor;Ileso;25;Masculino
19805;581013;1292742;SP;1035685;Motocicleta;HONDA/CB250F TWISTER CBS;Condutor;Lesões Leves;26;Masculino
19806;581013;1292745;SP;1035686;Motocicleta;HONDA/NXR160 BROS ESDD;Condutor;Lesões Leves;22;Masculino
19902;581045;1293933;SP;1036516;Ônibus;M.BENZ/MPOLO TORINO U;Condutor;Ileso;55;Masculino
19903;581045;1293936;SP;1036517;Micro-ônibus;I/HYUNDAI H100 TOP;Condutor;Ileso;39;Masculino
19984;581082;1292886;SP;1035798;Automóvel;GM/PRISMA JOY;Condutor;Lesões Leves;31;Masculino
19999;581089;1292817;SP;1035752;Automóvel;CHEV/SPIN 1.8L MT LT;Condutor;Ileso;38;Masculino
20000;581089;1292818;SP;1035753;Motocicleta;YAMAHA/FAZER YS250;Condutor;Lesões Leves;31;Masculino
20005;581091;1292859;SP;1035777;Caminhão-trator;DAF/XF FT 480;Condutor;Ileso;44;Masculino
20007;581091;1292858;SP;1035776;Caminhonete;VW/NOVA SAVEIRO RB MBVS;Condutor;Lesões Leves;29;Masculino
20038;581101;1292971;SP;1035865;Automóvel;FIAT/SIENA ATTRACTIV 1.4;Condutor;Ileso;48;Masculino
20039;581101;1292969;SP;1035864;Automóvel;GM/CELTA 2P LIFE;Condutor;Ileso;39;Masculino
20041;581101;1292966;SP;1035863;Camioneta;I/HONDA CR-V EXL;Condutor;Lesões Leves;29;Feminino
20046;581103;1292922;SP;1035832;Automóvel;I/KIA CERATO FF SX4 ATNB;Condutor;Ileso;55;Masculino
20100;581124;1292906;SP;1035821;Automóvel;HONDA/CIVIC LXR;Condutor;Lesões Leves;51;Masculino
20113;581131;1292895;SP;1035819;Automóvel;GM/CELTA;Condutor;Lesões Leves;34;Masculino
20176;581159;1293062;SP;1035922;Automóvel;CHEV/ONIX PLUS 10TMT LT1;Condutor;Ileso;35;Masculino
20177;581159;1293064;SP;1035923;Automóvel;I/VW JETTA 2.0;Condutor;Ileso;50;Feminino
20205;581170;1293109;SP;1035959;Caminhão;VW/7.110 S;Condutor;Lesões Leves;56;Masculino
20206;581170;1294971;SP;1037189;Caminhão-trator;VW/19.360 CTC 4X2;Condutor;Ileso;35;Masculino
20216;581173;1293157;SP;1035992;Utilitário;JEEP/RENEGADE THAWK AT D;Condutor;Lesões Leves;43;Masculino
20218;581175;1293158;SP;1035995;Motocicleta;YAMAHA/FAZER YS250;Condutor;Lesões Graves;59;Masculino
20231;581182;1293060;SP;1035920;Caminhão-trator;SCANIA/R 380 A6X2;Condutor;Não Informado;41;Não Informado
20232;581182;1293061;SP;1035921;Automóvel;FIAT/MOBI LIKE;Condutor;Lesões Leves;29;Feminino
20254;581193;1294876;SP;1037188;Bicicleta;Não Informado;Condutor;Lesões Graves;45;Masculino
20255;581193;1293094;SP;1035951;Motocicleta;HONDA/CG 150 FAN ESI;Condutor;Lesões Graves;21;Masculino
20297;581209;1293166;SP;1035999;Automóvel;VW/GOL 1.0 GIV;Condutor;Ileso;29;Feminino
20300;581209;1293167;SP;1036000;Automóvel;CHEVROLET/CRUZE LT HB;Condutor;Ileso;42;Masculino
20312;581217;1293283;SP;1036066;Motocicleta;KAWASAKI/NINJA 250R;Condutor;Lesões Graves;48;Masculino
20384;581240;1293266;SP;1036052;Caminhão-trator;MAN/TGX 28.440 6X2 T;Condutor;Lesões Leves;36;Masculino
20393;581244;1293282;SP;1036065;Bicicleta;Não Informado;Condutor;Lesões Leves;41;Masculino
20402;581249;1293286;SP;1036069;Motocicleta;YAMAHA/FZ15 FAZER ABS;Condutor;Lesões Leves;22;Masculino
20403;581249;1293285;SP;1036070;Motocicleta;HONDA/CG 160 TITAN;Condutor;Ileso;49;Masculino
20452;581278;1293546;SP;1036256;Caminhão-trator;SCANIA/R450 A6X2;Condutor;Ileso;34;Masculino
20460;581282;1293731;SP;1036378;Camioneta;I/INFINITI FX 35 AWD;Condutor;Lesões Leves;36;Masculino
20470;581284;1293345;SP;1036111;Automóvel;VW/UP MOVE MA;Condutor;Lesões Leves;29;Feminino
20492;581296;1293377;SP;1036135;Automóvel;CHEV/PRISMA 1.4AT LTZ;Condutor;Ileso;37;Masculino
20494;581296;1293374;SP;1036136;Caminhonete;RENAULT/MASTER ALLT AMB3;Condutor;Ileso;38;Masculino
20497;581296;1293376;SP;1036137;Caminhonete;VW/NOVA SAVEIRO RB MBVS;Condutor;Ileso;30;Masculino
20555;581328;1293464;SP;1036186;Automóvel;CHEVROLET/ONIX 10MT JOYE;Condutor;Ileso;47;Masculino
20556;581328;1293463;SP;1036185;Motocicleta;YAMAHA/YBR125I FACTOR ED;Condutor;Lesões Leves;43;Masculino
20667;581374;1293757;SP;1036393;Automóvel;GM/CELTA 4P LIFE;Condutor;Ileso;58;Masculino
20668;581374;1293758;SP;1036394;Caminhonete;RENAULT/MASTER FURGAO L1;Condutor;Ileso;23;Masculino
20712;581395;1294053;SP;1036615;Automóvel;CHEVROLET/ONIX 1.0MT LT;Condutor;Ileso;41;Masculino
20713;581395;1294054;SP;1036616;Motocicleta;YAMAHA/YBR150 FACTOR ED;Condutor;Lesões Leves;25;Masculino
20780;581428;1293809;SP;1036442;Motocicleta;HONDA/CG150 FAN ESDI;Condutor;Lesões Leves;49;Masculino
20781;581428;1295303;SP;1037498;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
20821;581450;1293916;SP;1036507;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
20822;581450;1293915;SP;1036506;Motocicleta;Não Informado;Condutor;Lesões Graves;23;Masculino
20888;581484;1293965;SP;1036548;Automóvel;HONDA/CITY HATCH EXL;Condutor;Lesões Leves;66;Masculino
20891;581484;1294151;SP;1036691;Automóvel;HONDA/HR-V EXL CVT;Condutor;Ileso;20;Masculino
20993;581538;1294128;SP;1036673;Automóvel;GM/CELTA 2P LIFE;Condutor;Lesões Leves;45;Feminino
20994;581538;1295836;SP;1036675;Caminhão;Não Informado;Condutor;Não Informado;41;Não Informado
21101;581586;1296036;SP;1036771;Outros;Não Informado;Condutor;Não Informado;41;Não Informado
21105;581589;1294407;SP;1036878;Outros;Não Informado;Condutor;Não Informado;41;Não Informado
21154;581605;1294305;SP;1036806;Automóvel;VW/GOL SPECIAL;Condutor;Ileso;26;Masculino
21157;581605;1298873;SP;1040361;Caminhonete;VW/SAVEIRO CS RB MPI;Condutor;Ileso;34;Masculino
21164;581609;1294346;SP;1036837;Automóvel;VW/SANTANA 2.0;Condutor;Ileso;50;Masculino
21272;581655;1294422;SP;1036884;Automóvel;HYUNDAI/HB20 10M COMFORT;Condutor;Ileso;65;Feminino
21273;581655;1294423;SP;1036885;Motocicleta;HONDA/CG 160 CARGO;Condutor;Lesões Leves;28;Masculino
21292;581664;1294473;SP;1036915;Motocicleta;MOTTU/SPORT 110I;Condutor;Lesões Graves;27;Masculino
21326;581676;1294634;SP;1036930;Motocicleta;HONDA/CG 150 FAN ESI;Condutor;Lesões Leves;44;Masculino
21328;581676;1294627;SP;1036928;Caminhão-trator;VOLVO/FH 460 6X2T;Condutor;Ileso;57;Masculino
21410;581712;1294854;SP;1037175;Caminhonete;I/FORD RANGER XLS CD2 25;Condutor;Ileso;37;Masculino
21423;581717;1294650;SP;1037016;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Graves;21;Masculino
21444;581725;1294760;SP;1037109;Automóvel;FIAT/PALIO ELX;Condutor;Não Informado;41;Não Informado
21445;581725;1296549;SP;1038518;Caminhão;Não Informado;Condutor;Não Informado;41;Não Informado
21461;581735;1294645;SP;1037012;Automóvel;FORD/FIESTA 1.6 FLEX;Condutor;Lesões Leves;32;Masculino
21462;581735;1294646;SP;1037013;Automóvel;GM/MONZA HI-TECH;Condutor;Lesões Leves;41;Feminino
21463;581735;1294643;SP;1037010;Automóvel;GM/ASTRA HB 4P ADVANTAGE;Condutor;Ileso;51;Masculino
21464;581735;1294644;SP;1037011;Automóvel;FIAT/IDEA ATTRACTIVE 1.4;Condutor;Ileso;38;Feminino
21596;581786;1296622;SP;1038574;Utilitário;BMW/X1 S20I M SPORT;Condutor;Ileso;41;Masculino
21597;581787;1294740;SP;1037091;Caminhão-trator;M.BENZ/AXOR 2544 LS;Condutor;Lesões Leves;39;Masculino
21652;581819;1294822;SP;1037151;Automóvel;CHEV/SPIN 1.8L AT ACT7;Condutor;Ileso;51;Masculino
21697;581845;1294945;SP;1037255;Automóvel;I/HYUNDAI I30 2.0;Condutor;Lesões Leves;35;Masculino
21716;581856;1295176;SP;1037418;Motocicleta;HONDA/CG 160 TITAN;Condutor;Lesões Leves;22;Masculino
21718;581856;1295177;SP;1037419;Ônibus;M.BENZ/MASC GRANMINI O;Condutor;Ileso;43;Masculino
21752;581872;1295098;SP;1037361;Motocicleta;I/YAMAHA YZF R6;Condutor;Lesões Leves;53;Masculino
21753;581873;1294978;SP;1037277;Motocicleta;I/ROYAL  ENFIELD METEOR;Condutor;Ileso;53;Masculino
21756;581873;1296803;SP;1038732;Automóvel;FIAT/PALIO FIRE FLEX;Condutor;Ileso;30;Masculino
21777;581885;1294991;SP;1037286;Caminhão-trator;SCANIA/G 420 A6X2;Condutor;Ileso;60;Masculino
21778;581886;1295065;SP;1037348;Motocicleta;HONDA/CG 160 TITAN EX;Condutor;Lesões Graves;34;Masculino
21779;581886;1295069;SP;1037349;Caminhão-trator;MAN/TGX 28.440 6X2 T;Condutor;Ileso;32;Masculino
21780;581886;1297239;SP;1039060;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
21797;581896;1295004;SP;1037301;Automóvel;I/FORD FOCUS 2L HC FLEX;Condutor;Ileso;36;Masculino
21798;581896;1298199;SP;1039845;Automóvel;FIAT/PALIO WEEK ELX FLEX;Condutor;Ileso;63;Masculino
21799;581897;1295017;SP;1037309;Motocicleta;HONDA/CB250F TWISTER CBS;Condutor;Lesões Leves;30;Masculino
21809;581902;1295043;SP;1037331;Automóvel;FIAT/SIENA EL FLEX;Condutor;Ileso;35;Masculino
21813;581902;1295045;SP;1037332;Automóvel;VW/T CROSS CL TSI;Condutor;Ileso;64;Masculino
21963;581967;1296675;SP;1038628;Automóvel;FORD/FIESTA SEDAN FLEX;Condutor;Lesões Leves;22;Masculino
22043;582009;1295315;SP;1037527;Automóvel;I/RENAULT FLUENCE DYN20M;Condutor;Ileso;35;Feminino
22045;582009;1295317;SP;1037528;Automóvel;GM/ZAFIRA COMFORT;Condutor;Lesões Leves;42;Masculino
22050;582012;1295595;SP;1037730;Motocicleta;HONDA/CG 160 FAN;Condutor;Óbito;26;Masculino
22051;582014;1295375;SP;1037563;Automóvel;VW/GOL MPI;Condutor;Lesões Leves;54;Masculino
22052;582014;1295380;SP;1037568;Caminhão-trator;VOLVO/FH 460 6X2T;Condutor;Ileso;47;Masculino
22086;582029;1295355;SP;1037551;Automóvel;TOYOTA/COROLLA XEI20FLEX;Condutor;Ileso;27;Masculino
22104;582038;1295747;SP;1037850;Automóvel;RENAULT/KWID ZEN 10MT;Condutor;Ileso;60;Feminino
22105;582038;1295745;SP;1037851;Motocicleta;HONDA/NXR160 BROS ESDD;Condutor;Lesões Leves;46;Masculino
22140;582059;1295417;SP;1037598;Motocicleta;HONDA/CB250F TWISTER CBS;Condutor;Lesões Leves;41;Masculino
22147;582066;1295440;SP;1037619;Caminhão;VW/15.190 CRM 4X2;Condutor;Lesões Leves;38;Masculino
22181;582073;1295481;SP;1037657;Automóvel;NISSAN/VERSA 16SV CVT;Condutor;Ileso;25;Masculino
22182;582073;1295482;SP;1037658;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Leves;22;Masculino
22183;582074;1295471;SP;1037632;Caminhonete;FIAT/STRADA HD WK CC E;Condutor;Lesões Leves;35;Masculino
22184;582074;1295453;SP;1037631;Caminhonete;IVECO/DAILY 35-150CS;Condutor;Ileso;36;Masculino
22240;582096;1295510;SP;1037682;Automóvel;VW/VOYAGE MPI;Condutor;Ileso;28;Masculino
22241;582096;1295511;SP;1037683;Motocicleta;HONDA/CG150 FAN ESDI;Condutor;Lesões Leves;25;Masculino
22242;582096;1295513;SP;1037684;Automóvel;VW/T CROSS HL TSI;Condutor;Ileso;58;Masculino
22255;582102;1295607;SP;1037737;Motocicleta;HONDA/CG 150 FAN ESI;Condutor;Lesões Leves;47;Masculino
22256;582102;1295608;SP;1037738;Bicicleta;Não Informado;Condutor;Lesões Leves;54;Masculino
22309;582130;1295714;SP;1037824;Automóvel;FIAT/PALIO EDX;Condutor;Ileso;58;Masculino
22352;582143;1295706;SP;1037816;Automóvel;FORD/KA SE 1.0 HA C;Condutor;Lesões Leves;26;Feminino
22356;582147;1295697;SP;1037806;Automóvel;HYUNDAI/HB20S 1.0M 1.0M;Condutor;Não Informado;41;Não Informado
22373;582162;1295726;SP;1037834;Automóvel;FORD/KA FLEX;Condutor;Ileso;36;Masculino
22375;582162;1295722;SP;1037833;Automóvel;FIAT/PALIO WK ADVEN FLEX;Condutor;Ileso;44;Masculino
22385;582166;1295874;SP;1037874;Motocicleta;HONDA/CG 125 TITAN;Condutor;Lesões Leves;32;Masculino
22386;582166;1295872;SP;1037863;Automóvel;FIAT/UNO MILLE WAY ECON;Condutor;Ileso;29;Masculino
22387;582166;1295873;SP;1037866;Automóvel;GM/CELTA 2P LIFE;Condutor;Ileso;22;Masculino
22388;582166;1295875;SP;1037876;Caminhonete;FIAT/FIORINO ENDURANCE;Condutor;Ileso;50;Masculino
22420;582185;1295787;SP;1037892;Motocicleta;HONDA/XRE 300;Condutor;Lesões Leves;22;Masculino
22422;582185;1297520;SP;1039216;Automóvel;CHEVROLET/ONIX 1.4MT LT;Condutor;Ileso;25;Feminino
22441;582195;1295769;SP;1037879;Motocicleta;YAMAHA/FAZER YS250;Condutor;Lesões Leves;27;Masculino
22443;582195;1295772;SP;1037880;Motocicleta;TVS/SPORT 110I;Condutor;Lesões Leves;26;Feminino
22445;582195;1295771;SP;1037881;Automóvel;FIAT/FASTBACK TURBO 270;Condutor;Ileso;62;Masculino
22578;582270;1296069;SP;1038110;Motocicleta;YAMAHA/FAZER250 BLUEFLEX;Condutor;Lesões Leves;49;Masculino
22580;582272;1296045;SP;1038093;Motocicleta;HONDA/NXR160 BROS ESDD;Condutor;Lesões Leves;44;Masculino
22581;582272;1296046;SP;1038094;Outros;Não Informado;Condutor;Não Informado;41;Não Informado
22645;582301;1296140;SP;1038164;Automóvel;FIAT/UNO WAY 1.0;Condutor;Ileso;61;Masculino
22648;582301;1296092;SP;1038128;Caminhão;M.BENZ/ATEGO 3030 CE;Condutor;Ileso;43;Masculino
22677;582322;1296143;SP;1038167;Motocicleta;HONDA/CG 150 TITAN ES;Condutor;Lesões Graves;28;Masculino
22678;582322;1296144;SP;1038168;Caminhão-trator;SCANIA/T112 H 4X2;Condutor;Ileso;30;Masculino
22700;582336;1296181;SP;1038197;Automóvel;GM/CORSA CLASSIC;Condutor;Não Informado;41;Não Informado
22706;582338;1296204;SP;1038216;Motocicleta;HONDA/CB250F TWISTER CBS;Condutor;Lesões Leves;27;Masculino
22707;582338;1297990;SP;1038217;Automóvel;TOYOTA/COROLLA XEI20FLEX;Condutor;Não Informado;41;Não Informado
22952;582460;1296534;SP;1038508;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;31;Masculino
22953;582460;1296533;SP;1038507;Automóvel;TOYOTA/ETIOS HB X;Condutor;Ileso;29;Feminino
22956;582463;1296702;SP;1038650;Automóvel;FORD/KA SE 1.0 HA B;Condutor;Não Informado;41;Não Informado
22958;582463;1296703;SP;1038648;Motocicleta;HONDA/CG 150 FAN ESI;Condutor;Lesões Leves;24;Masculino
22968;582469;1296649;SP;1038605;Motocicleta;YAMAHA/FAZER YS250;Condutor;Óbito;40;Masculino
22980;582477;1296946;SP;1038841;Motocicleta;KAWASAKI/NINJA 250R;Condutor;Lesões Leves;25;Masculino
23005;582489;1296608;SP;1038562;Caminhão;IVECO/TECTOR 310E30CE;Condutor;Ileso;44;Masculino
23007;582491;1296634;SP;1038559;Caminhão;Não Informado;Condutor;Não Informado;41;Não Informado
23008;582491;1296638;SP;1038588;Bicicleta;Não Informado;Condutor;Lesões Graves;21;Masculino
23010;582492;1296568;SP;1038534;Camioneta;FORD/ECOSPORT SE AT 1.6B;Condutor;Lesões Leves;26;Masculino
23013;582492;1296572;SP;1038535;Caminhão-trator;M.BENZ/AXOR 1933 LS;Condutor;Ileso;48;Masculino
23014;582492;1296573;SP;1038538;Caminhonete;VW/NOVA SAVEIRO RB MBVD;Condutor;Ileso;48;Masculino
23020;582495;1297419;SP;1039223;Automóvel;VW/VOYAGE 1.6L AF5;Condutor;Lesões Leves;38;Feminino
23062;582518;1296628;SP;1038581;Motoneta;HONDA/PCX 150 DLX;Condutor;Lesões Leves;28;Feminino
23079;582528;1296659;SP;1038612;Caminhão;IVECO/DAILY 70C17HDCS;Condutor;Ileso;35;Masculino
23080;582528;1296658;SP;1038611;Caminhão-trator;M.BENZ/AXOR 2544 S;Condutor;Ileso;27;Masculino
23081;582529;1296717;SP;1038661;Bicicleta;Não Informado;Condutor;Lesões Leves;38;Masculino
23082;582529;1296715;SP;1038659;Caminhão;FORD/CARGO 2628 E;Condutor;Ileso;35;Masculino
23093;582536;1296698;SP;1038646;Motocicleta;HONDA/CG 150 TITAN KS;Condutor;Lesões Graves;24;Feminino
23094;582536;1296699;SP;1038647;Automóvel;HYUNDAI/HB20 1.0M 1.0 M;Condutor;Ileso;36;Masculino
23108;582540;1296689;SP;1038639;Automóvel;RENAULT/KWID ZEN 10MT;Condutor;Lesões Leves;46;Masculino
23130;582552;1296707;SP;1038653;Automóvel;I/CHEVROLET AGILE LT;Condutor;Lesões Leves;41;Feminino
23154;582568;1297049;SP;1038915;Caminhão;M.BENZ/ATRON 2324;Condutor;Ileso;30;Masculino
23164;582572;1297138;SP;1038989;Caminhão;M.BENZ/L 1114;Condutor;Ileso;14;Masculino
23165;582572;1297139;SP;1038990;Caminhonete;FIAT/STRADA VOLCANO AT;Condutor;Ileso;35;Masculino
23184;582577;1296951;SP;1038842;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
23185;582577;1296749;SP;1038688;Caminhão-trator;SCANIA/G 420 A6X2;Condutor;Ileso;27;Masculino
23284;582623;1296932;SP;1038830;Ônibus;M.BENZ/MPOLO TORINO U;Condutor;Ileso;47;Masculino
23295;582630;1296952;SP;1038847;Motocicleta;Não Informado;Condutor;Lesões Leves;54;Feminino
23296;582630;1296953;SP;1038848;Motocicleta;Não Informado;Condutor;Lesões Graves;39;Masculino
23327;582641;1297079;SP;1038933;Automóvel;NISSAN/KICKS SV CVT;Condutor;Ileso;48;Masculino
23328;582641;1297077;SP;1038932;Motocicleta;HONDA/CG 125 FAN ES;Condutor;Lesões Leves;35;Masculino
23329;582641;1297075;SP;1038931;Automóvel;CHEV/SPIN 1.8L AT ACT7;Condutor;Ileso;26;Masculino
23389;582660;1297108;SP;1038957;Motoneta;HONDA/BIZ 125 KS;Condutor;Lesões Leves;43;Masculino
23390;582661;1297053;SP;1038919;Automóvel;FIAT/ARGO DRIVE 1.0;Condutor;Ileso;39;Masculino
23392;582661;1297052;SP;1038918;Automóvel;I/RENAULT CLIO EXP1016VH;Condutor;Ileso;47;Masculino
23395;582663;1297056;SP;1038920;Caminhão-trator;VOLVO/NH12380 4X2T;Condutor;Lesões Leves;51;Masculino
23396;582663;1298703;SP;1040228;Caminhão;VW/15.190 CRM 4X2 4P;Condutor;Óbito;65;Masculino
23398;582663;1298702;SP;1040227;Caminhão;VW/BMB 17.250 CLC CM;Condutor;Lesões Leves;34;Masculino
23401;582665;1296980;SP;1038857;Caminhão-trator;M.BENZ/ACTROS 2546LS;Condutor;Ileso;43;Masculino
23404;582665;1296992;SP;1038863;Automóvel;CHEV/SPIN 18L AT PREMIER;Condutor;Lesões Leves;36;Masculino
23405;582665;1296991;SP;1038864;Caminhão-trator;VW/19.360 CTC 4X2;Condutor;Ileso;50;Masculino
23406;582665;1297074;SP;1038862;Utilitário;CHEV/TRAILBLAZER LT D4A;Condutor;Ileso;30;Masculino
23471;582700;1297106;SP;1038956;Caminhão;VW/9.170 DRC 4X2;Condutor;Ileso;23;Masculino
23478;582705;1297851;SP;1039581;Motocicleta;YAMAHA/FACTOR YBR125 K;Condutor;Lesões Leves;28;Masculino
23506;582714;1297133;SP;1038984;Automóvel;FIAT/TEMPRA IE;Condutor;Não Informado;41;Não Informado
23564;582744;1297178;SP;1039021;Motocicleta;Não Informado;Condutor;Lesões Leves;32;Masculino
23565;582744;1297179;SP;1039022;Caminhão;Não Informado;Condutor;Ileso;41;Masculino
23572;582749;1297681;SP;1039423;Caminhonete;MMC/L200 OUTDOOR;Condutor;Ileso;52;Masculino
23584;582758;1297263;SP;1039077;Motocicleta;HONDA/XRE 300;Condutor;Lesões Leves;23;Masculino
23585;582758;1297281;SP;1039088;Caminhonete;IVECO/DAILY35S14 CS;Condutor;Ileso;40;Masculino
23586;582758;1297275;SP;1039086;Caminhão;M.BENZ/915C;Condutor;Ileso;63;Masculino
23628;582779;1297280;SP;1039099;Automóvel;VW/GOL CL;Condutor;Ileso;36;Masculino
23638;582785;1297361;SP;1039171;Caminhão-trator;M.BENZ/AXOR 2540 S;Condutor;Ileso;34;Masculino
23639;582785;1297360;SP;1039170;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;22;Masculino
23673;582806;1297447;SP;1039234;Caminhão;VW/6.160 DRC 4X2;Condutor;Ileso;54;Masculino
23674;582806;1297449;SP;1039235;Automóvel;VW/PARATI 1.6 TRACKFIELD;Condutor;Óbito;77;Masculino
23712;582822;1297476;SP;1039249;Motocicleta;HONDA/CG 160 CARGO ESDI;Condutor;Lesões Leves;45;Masculino
